,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target
2223,8.14468E+17,8.14468E+17,12/29/2016,meerasandhya,Loneliness is what that happens in silence When darkness creeps towards the - Deep Corridors of mind Without disturbing anyone ,['#loneliness'],Loneliness is what that happens in silence When darkness creeps towards the - Deep Corridors of mind Without disturbing anyone #loneliness,0
2229,8.1444E+17,8.1444E+17,12/29/2016,lifeflect,Publicity before Christmas about loneliness. How many loneliness projects were open on Christmas day I wonder?  ,"['#loneliness', '#lonely']",Publicity before Christmas about loneliness. How many loneliness projects were open on Christmas day I wonder? #loneliness #lonely,0
2230,8.14438E+17,8.14438E+17,12/29/2016,ienvanderpol,What do you think?  or ? Something else? pic.twitter.com/FNM1aQ1Rqi,"['#loneliness', '#freedom']",What do you think? #loneliness or #freedom? Something else? pic.twitter.com/FNM1aQ1Rqi,0
2231,8.14438E+17,8.14438E+17,12/29/2016,lifeflect,Did anyone call and chat with someone who was alone over Christmas?  ,"['#loneliness', '#homealone']",Did anyone call and chat with someone who was alone over Christmas? #loneliness #homealone,0
2238,8.14416E+17,8.14416E+17,12/29/2016,cnwlrc,Loneliness isn't about being alone it's not being anybody's priority  is a problem that faces us all reach out and make contact??‘‹??—£,['#loneliness'],Loneliness isn't about being alone it's not being anybody's priority #Loneliness is a problem that faces us all reach out and make contact??‘‹??—£,0
2248,8.14305E+17,8.14305E+17,12/29/2016,seniorbees,Social connections are important throughout our lives!     pic.twitter.com/TpvuN7eGQv,"['#aginggracefully', '#loneliness']",Social connections are important throughout our lives!  #AgingGracefully #Loneliness  pic.twitter.com/TpvuN7eGQv,0
2249,8.14288E+17,8.14288E+17,12/29/2016,rizwanyahya,Heard a person detailing his branded cloths arrogantly today. It sounded more like him wearing  instead of cloths. ,"['#loneliness', '#sad']",Heard a person detailing his branded cloths arrogantly today. It sounded more like him wearing #Loneliness instead of cloths. #Sad,0
2250,8.1428E+17,8.1428E+17,12/29/2016,stevenrhinehart,"nobody could ever know the hidden pain or the hidden  or the hidden ,,,,, but ..","['#hurt', '#loneliness', '#god']","nobody could ever know the hidden pain or the hidden #hurt or the hidden #loneliness,,,,, but #God..",0
2253,8.14266E+17,8.14266E+17,12/29/2016,rudilopezinc," or being in heat is not sufficient reason to jump into . That's how people get hurt, cycle of pain happens. ","['#loneliness', '#relationship', '#love']","#Loneliness or being in heat is not sufficient reason to jump into #relationship. That's how people get hurt, cycle of pain happens. #love",0
2259,8.14231E+17,8.14231E+17,12/28/2016,brotherjaland,Walked outside and saw this nigga catchin the fade   pic.twitter.com/DiqoKV0Eix,['#loneliness'],Walked outside and saw this nigga catchin the fade #loneliness  pic.twitter.com/DiqoKV0Eix,0
2332,8.13916E+17,8.13916E+17,12/28/2016,messmaker2298,LEARNING TO LOVE YOURSELF IS THE HARDEST TASK YOU HAVE TO ACCOMPLISH IN LIFE FOR A LOT OF PEOPLE.  ,"['#sad', '#loneliness']",LEARNING TO LOVE YOURSELF IS THE HARDEST TASK YOU HAVE TO ACCOMPLISH IN LIFE FOR A LOT OF PEOPLE. #SAD #LONELINESS,0
2340,8.13874E+17,8.13874E+17,12/27/2016,maximepihin,"for 3 days, I will improve the landscape of the my game() and make the pause menu with the ability to save and load",['#loneliness'],"for 3 days, I will improve the landscape of the my game(#loneliness) and make the pause menu with the ability to save and load",0
2346,8.13843E+17,8.13843E+17,12/27/2016,nosebagzola,Don't glorify . Don't rationalize .  pic.twitter.com/9kcwhSIjeR,"['#gluttony', '#loneliness']",Don't glorify #gluttony. Don't rationalize #loneliness.  pic.twitter.com/9kcwhSIjeR,0
2351,8.1383E+17,8.1383E+17,12/27/2016,junesacting, is never more cruel than when it is felt in close propinquity with someone who has ceased to communicate. â€”Germaine Greer,['#loneliness'],#Loneliness is never more cruel than when it is felt in close propinquity with someone who has ceased to communicate. â€”Germaine Greer,1
2354,8.13822E+17,8.13822E+17,12/27/2016,nhsnene,"Pop in to see an elderly relative, friend or neighbour this  and help combat   pic.twitter.com/3Zy8CXTriS","['#christmas', '#loneliness']","Pop in to see an elderly relative, friend or neighbour this #Christmas and help combat #loneliness  pic.twitter.com/3Zy8CXTriS",0
2368,8.13784E+17,8.13784E+17,12/27/2016,traehfoneeuq,"So hard to fight the , especially during a chilly night with crickets singing!",['#loneliness'],"So hard to fight the #loneliness, especially during a chilly night with crickets singing!",1
2369,8.13782E+17,8.13782E+17,12/27/2016,fiyzziazhar,Good nite.                                         ,['#loneliness'],Good nite.                                         #loneliness,0
2373,8.13762E+17,8.13762E+17,12/27/2016,collenjamela,"Internet on point,Channel O on point ",['#loneliness'],"Internet on point,Channel O on point #loneliness",1
2375,8.13752E+17,8.13752E+17,12/27/2016,sue_sascott,Biggest challenge at this time of year (& many other times) is to not make older people feel old! ,['#loneliness'],Biggest challenge at this time of year (& many other times) is to not make older people feel old! #loneliness,0
2380,8.13729E+17,8.13729E+17,12/27/2016,maximepihin,"After the first quarter, sales of my game () plan to get 100.000 rubles, including the Russian market and the European  pic.twitter.com/xpQfiqByav",['#loneliness'],"After the first quarter, sales of my game (#loneliness) plan to get 100.000 rubles, including the Russian market and the European  pic.twitter.com/xpQfiqByav",0
2381,8.13727E+17,8.13727E+17,12/27/2016,astronomay," is dangerous. it's addicting. once you see how peaceful it is, you don't wanna deal with people. -Hedonist Poet",['#loneliness'],"#loneliness is dangerous. it's addicting. once you see how peaceful it is, you don't wanna deal with people. -Hedonist Poet",0
2396,8.13674E+17,8.13674E+17,12/27/2016,grassrootssp, can feel ever so painful. And stigma prevents honesty about problems. Let's keep the difficult conversations going x  pic.twitter.com/DwXfpvI3iX,['#loneliness'],#loneliness can feel ever so painful. And stigma prevents honesty about problems. Let's keep the difficult conversations going x  pic.twitter.com/DwXfpvI3iX,0
2406,8.13616E+17,8.13616E+17,12/27/2016,karilou99,Sister and her boyfriend in one bed and here I am by myself in the other ??™ƒ??™„ ,['#loneliness'],Sister and her boyfriend in one bed and here I am by myself in the other ??™ƒ??™„ #loneliness,1
2412,8.13573E+17,8.13573E+17,12/27/2016,lubitt_boujiee,Phone ring at anytime now . ??¤¦??½â€â™€ï¸ ,['#loneliness'],Phone ring at anytime now . ??¤¦??½â€â™€ï¸ #loneliness,1
2447,8.1341E+17,8.1341E+17,12/26/2016,judemillerburke,Holiday  and  is common. Design your own holiday celebration. pic.twitter.com/F8MfTFqqIQ,"['#loneliness', '#depression']",Holiday #loneliness and #depression is common. Design your own holiday celebration. pic.twitter.com/F8MfTFqqIQ,0
2478,8.13291E+17,8.13291E+17,12/26/2016,bcheyral,Don't you want to be my girl ?   ,"['#thebelieve', '#loveactually', '#loneliness']",Don't you want to be my girl ? #TheBelieve #loveactually #loneliness,0
2487,8.13206E+17,8.13206E+17,12/26/2016,smallbean4566,I need an IBF and takers...  ,"['#loneliness', '#internetbesties']",I need an IBF and takers... #loneliness #internetbesties,1
2496,8.13166E+17,8.13166E+17,12/25/2016,roksannroschana,Volunteering today with my cousin at a community centre putting on a spread for those alone at  Say no to  at  pic.twitter.com/MJEHIwdpD5,"['#christmas', '#loneliness', '#xmas']",Volunteering today with my cousin at a community centre putting on a spread for those alone at #Christmas Say no to #loneliness at #Xmas pic.twitter.com/MJEHIwdpD5,0
2537,8.13056E+17,8.13056E+17,12/25/2016,bitzofm3,"Christmas, the most wonderful time of the year can also be the most horrific time of the year.   ","['#christmas', '#sadness', '#loneliness']","Christmas, the most wonderful time of the year can also be the most horrific time of the year. #christmas #sadness #loneliness",0
2548,8.13014E+17,8.13014E+17,12/25/2016,call_247,If you are struggling with   this festive season. We are open 24/7 to offer . Call 0800 132 737. pw,"['#loneliness', '#isolation', '#support']",If you are struggling with #loneliness #isolation this festive season. We are open 24/7 to offer #support. Call 0800 132 737. pw,0
2551,8.13008E+17,8.13008E+17,12/25/2016,thisiswhereit,Loneliness does not just happen on this one day but all year round   ,"['#depression', '#loneliness', '#joinin']",Loneliness does not just happen on this one day but all year round #depression #loneliness #joinin,0
2566,8.12948E+17,8.12948E+17,12/25/2016,septer393,"Its a comforting experience to pull off a major freeway and there not be one person as far as the eye can see.  ,  ","['#kansas', '#empty', '#loneliness']","Its a comforting experience to pull off a major freeway and there not be one person as far as the eye can see.  #Kansas, #Empty #Loneliness",0
2569,8.12948E+17,8.12948E+17,12/25/2016,podrezvictoria,To be alone is lonely or freedom...   pic.twitter.com/eqnKrbjoXr,"['#loneliness', '#freedom']",To be alone is lonely or freedom... #loneliness #freedom pic.twitter.com/eqnKrbjoXr,0
2571,8.1293E+17,8.1293E+17,12/25/2016,chakosnorris,"I'd like wish everyone a Happy Holidays, but I'm alone with no significant other. Fuck me. ",['#loneliness'],"I'd like wish everyone a Happy Holidays, but I'm alone with no significant other. Fuck me. #Loneliness",1
2587,8.12827E+17,8.12827E+17,12/25/2016,ssheharyaar,I miss those days whn i used to forget bout my worries by jst talking 2 u..i miss u badly mere jigrii..???”  ,"['#6am', '#loneliness']",I miss those days whn i used to forget bout my worries by jst talking 2 u..i miss u badly mere jigrii..???” #6Am #loneliness,1
2598,8.12774E+17,8.12774E+17,12/24/2016,benporrov,"Not keen on Xmas? Neither am I. Chin up, chest out n remember , beyond the hype , it's just another day. . . ","['#anxiety', '#depression', '#loneliness']","Not keen on Xmas? Neither am I. Chin up, chest out n remember , beyond the hype , it's just another day. #Anxiety. #Depression. #Loneliness",1
2601,8.12762E+17,8.12762E+17,12/24/2016,punc14julie,"Visited an elderly gentleman in hosptal earlier, admitted a week ago & had no visitors as all family & friends have passed away ",['#loneliness'],"Visited an elderly gentleman in hosptal earlier, admitted a week ago & had no visitors as all family & friends have passed away #loneliness",0
2603,8.12756E+17,8.12756E+17,12/24/2016,itsaimamit," is the thing which i hate the most and love to live with, for the simple reason that it keeps my mind working and keeps me awake",['#loneliness'],"#Loneliness is the thing which i hate the most and love to live with, for the simple reason that it keeps my mind working and keeps me awake",1
2634,8.12674E+17,8.12674E+17,12/24/2016,chihiro_gh,fuck fuck fuck Christmas ï¼ï¼ Why Japanese couples want to see illumination???Œ? Looking for a girlfriend ,['#loneliness'],fuck fuck fuck Christmas ï¼ï¼ Why Japanese couples want to see illumination???Œ? Looking for a girlfriend #loneliness,0
2649,8.12588E+17,8.12588E+17,12/24/2016,mervchangeagent,"As we think abt  across t generations at this time, a turkey sandwich & mince pie, in t company of strangers is seldom effective",['#loneliness'],"As we think abt #loneliness across t generations at this time, a turkey sandwich & mince pie, in t company of strangers is seldom effective",0
2652,8.1257E+17,8.1257E+17,12/24/2016,fffcomau,Christmas without you     pic.twitter.com/IKzGhX6ZI8,"['#holidaygrief', '#christmas', '#loneliness']",Christmas without you #holidaygrief #christmas #loneliness  pic.twitter.com/IKzGhX6ZI8,0
2656,8.12556E+17,8.12556E+17,12/24/2016,thephilosopurr,There is a  in this world that you can see it in the movement of the hands of a clock Bukowski  pic.twitter.com/SMPkHU3twN,"['#loneliness', '#writing']",There is a #loneliness in this world that you can see it in the movement of the hands of a clock Bukowski #writing pic.twitter.com/SMPkHU3twN,0
2663,8.12532E+17,8.12532E+17,12/24/2016,princessdiben,The best photo that describes me ??’”   ??’”  pic.twitter.com/HZngzZlxu6,"['#sadness', '#loneliness']",The best photo that describes me ??’” #Sadness #Loneliness ??’”  pic.twitter.com/HZngzZlxu6,0
2667,8.12511E+17,8.12511E+17,12/24/2016,angelg713,"Out of the many terrible things that come with divorce, folding king size sheets alone is close to the top. ",['#loneliness'],"Out of the many terrible things that come with divorce, folding king size sheets alone is close to the top. #loneliness",1
2669,8.12493E+17,8.12493E+17,12/24/2016,seniorbees, is more harmful than you may think!  pic.twitter.com/T4n5L9kdYz,['#loneliness'],#Loneliness is more harmful than you may think!  pic.twitter.com/T4n5L9kdYz,0
2674,8.1248E+17,8.1248E+17,12/24/2016,fabiansutopia,"We are all so much together, but we are all dying of loneliness. â€”Albert Schweitzer   ??¤”???”","['#quote', '#loneliness']","We are all so much together, but we are all dying of loneliness. â€”Albert Schweitzer #quote #loneliness ??¤”???”",0
2678,8.12462E+17,8.12462E+17,12/24/2016,lisaframe,"Holidays can be tough. I've been there. If you're struggling this holiday and want to talk, I'm here.      ","['#anxiety', '#depression', '#loneliness']","Holidays can be tough. I've been there. If you're struggling this holiday and want to talk, I'm here.    #Anxiety #depression #loneliness",0
2691,8.12423E+17,8.12423E+17,12/23/2016,agingwithspirit, is more harmful than you may think!  pic.twitter.com/LBHOUTajtK,['#loneliness'],#Loneliness is more harmful than you may think!  pic.twitter.com/LBHOUTajtK,0
2693,8.12421E+17,8.12421E+17,12/23/2016,mrmohamed_sakr," is dangerous. Itâ€™s addicting. Once you see how peaceful it is, you donâ€™t wanna deal with  ","['#loneliness', '#people', '#myself']","#Loneliness is dangerous. Itâ€™s addicting. Once you see how peaceful it is, you donâ€™t wanna deal with #people #myself",1
2798,8.12125E+17,8.12125E+17,12/23/2016,wind_uchiha2002,Trying to be friends with WWE superstars ,['#loneliness'],Trying to be friends with WWE superstars #loneliness,0
2818,8.12071E+17,8.11483E+17,12/22/2016,scales_paul,Honesty & Bravery are wonderful traits. Traits of a great human.  Great humans triumph.   ,"['#loneliness', '#invisible']",Honesty & Bravery are wonderful traits. Traits of a great human.  Great humans triumph.  #loneliness #Invisible,0
2863,8.11998E+17,8.11998E+17,12/22/2016,jonasrcvr123,It seems that a lonely future is waiting for me! Giver said he had a wife but it's forbidden to talk about our job.    pic.twitter.com/RcJGUdSs9K,"['#loneliness', '#spouses']",It seems that a lonely future is waiting for me! Giver said he had a wife but it's forbidden to talk about our job.  #loneliness #spouses pic.twitter.com/RcJGUdSs9K,0
2865,8.11992E+17,8.11992E+17,12/22/2016,mohkash, and  partners in crime. One could lead to the other.Both effective in destroying lives and the spirit of young and old!,"['#bullying', '#loneliness']",#bullying and #loneliness partners in crime. One could lead to the other.Both effective in destroying lives and the spirit of young and old!,0
2867,8.11991E+17,8.11991E+17,12/22/2016,mohkash," truly devastating disease of the modern age. At festive times like  worth making an effort to talk to, visit the lonely.","['#loneliness', '#xmas']","#loneliness truly devastating disease of the modern age. At festive times like #Xmas worth making an effort to talk to, visit the lonely.",0
2875,8.11969E+17,8.11969E+17,12/22/2016,evantherowe,I feel like I'm the only guy in Chan that doesn't like Hamilton ,['#loneliness'],I feel like I'm the only guy in Chan that doesn't like Hamilton #loneliness,0
2896,8.11931E+17,8.11931E+17,12/22/2016,jayeshdivekar,"To come out of , you make friends but coming together in knowledge is rare. Be a friend in knowledge and uplift each other.",['#loneliness'],"To come out of #loneliness, you make friends but coming together in knowledge is rare. Be a friend in knowledge and uplift each other.",0
2903,8.11916E+17,8.11916E+17,12/22/2016,42ndstreetmcr,Our last group of 2016 was our new  project (even more relevant at this time of year) & they laid on some welcoming festive food  pic.twitter.com/AOwwxTDona,['#loneliness'],Our last group of 2016 was our new #loneliness project (even more relevant at this time of year) & they laid on some welcoming festive food  pic.twitter.com/AOwwxTDona,0
2904,8.11913E+17,8.11913E+17,12/22/2016,voice_of_rudra," creeps inside when not the entire world becomes silent, but the one you care most. ","['#loneliness', '#love']","#Loneliness creeps inside when not the entire world becomes silent, but the one you care most. #love",0
2918,8.11883E+17,8.11883E+17,12/22/2016,edatingdr,Being  doesn't mean you're Lonely!  is feeling alone in a  with someone who can't or won't connect!,"['#single', '#loneliness', '#relationship']",Being #Single doesn't mean you're Lonely! #Loneliness is feeling alone in a #relationship with someone who can't or won't connect!,0
2927,8.11869E+17,8.11869E+17,12/22/2016,efa_mohamed,IN The heart of every Human being there's is a sense of  which cannot be put out expect by being close to Allah,['#loneliness'],IN The heart of every Human being there's is a sense of #loneliness which cannot be put out expect by being close to Allah,0
2939,8.11826E+17,8.11826E+17,12/22/2016,felixsincentro,"""We live as we dream - alone"" (Joseph Conrad)  ","['#quotes', '#loneliness']","""We live as we dream - alone"" (Joseph Conrad) #quotes #loneliness",0
2949,8.11727E+17,8.11727E+17,12/22/2016,katkelevra, is a choice  is a mild side effects u get used to it :)  pic.twitter.com/PJxqvRw1TF,"['#singlelife', '#loneliness', '#tistheseason']",#Singlelife is a choice #loneliness is a mild side effects u get used to it :) #tistheseason pic.twitter.com/PJxqvRw1TF,0
2951,8.11712E+17,8.11712E+17,12/21/2016,seniorbees,Social connections are important throughout our lives!     pic.twitter.com/cTBXNnn3IL,"['#aginggracefully', '#loneliness']",Social connections are important throughout our lives!  #AgingGracefully #Loneliness  pic.twitter.com/cTBXNnn3IL,0
2952,8.11712E+17,8.11712E+17,12/21/2016,fffcomau,Missing you this Christmas    pic.twitter.com/QfzTBKqHpz,"['#christmasloss', '#loneliness', '#holidaygrief']",Missing you this Christmas #christmasloss #loneliness #holidaygrief pic.twitter.com/QfzTBKqHpz,1
2954,8.117E+17,8.117E+17,12/21/2016,mariedarknight,I'm not gonna be his center of attention. His cousin will be. I want ur attention to. Ur cousin is staying till new years ,['#loneliness'],I'm not gonna be his center of attention. His cousin will be. I want ur attention to. Ur cousin is staying till new years #loneliness,1
2959,8.1168E+17,8.1168E+17,12/21/2016,br_matsie,When you've single for so long and start to wonder do you even still know how to hug ,['#loneliness'],When you've single for so long and start to wonder do you even still know how to hug #loneliness,1
2967,8.1167E+17,8.1167E+17,12/21/2016,cdkingslive,If you don't open up your heart and life to someone;  is guaranteed to eat you alive!!!!,['#loneliness'],If you don't open up your heart and life to someone; #Loneliness is guaranteed to eat you alive!!!!,0
2976,8.11634E+17,8.11634E+17,12/21/2016,thelostclouds,Being lost in my own mind   ,"['#loneliness', '#shy', '#afraid']",Being lost in my own mind #loneliness #shy #afraid,1
3001,8.11579E+17,8.11579E+17,12/21/2016,zohrah,My new friend from the Memory Cafe supporting & raising money to help those with    pic.twitter.com/YuN4foPKLY,"['#dementia', '#loneliness']",My new friend from the Memory Cafe supporting & raising money to help those with #dementia #loneliness  pic.twitter.com/YuN4foPKLY,0
3018,8.11543E+17,8.11543E+17,12/21/2016,cessaperry,"He may not act like it, but it is true   pic.twitter.com/rlGHhOjKv3","['#loneliness', '#hurts']","He may not act like it, but it is true #loneliness #hurts pic.twitter.com/rlGHhOjKv3",0
3047,8.14885E+17,8.14885E+17,12/30/2016,liborborak," by : Bleak melodies & beats, beautiful voice and gloomy verses about today's world. Brilliant! One of the best in 2016.","['#hopelessness', '#anohni']","#Hopelessness by #Anohni: Bleak melodies & beats, beautiful voice and gloomy verses about today's world. Brilliant! One of the best in 2016.",0
3055,8.14658E+17,8.14658E+17,12/30/2016,txhoutx, Dems after Kerry's speech???±???µ???·  pic.twitter.com/FpduyGjA7M,['#hopelessness'],#Hopelessness Dems after Kerry's speech???±???µ???·  pic.twitter.com/FpduyGjA7M,0
3061,8.14514E+17,8.14514E+17,12/29/2016,joel_hixon,We had  in a sea of ,"['#hope', '#hopelessness']",We had #hope in a sea of #hopelessness,0
3092,8.13498E+17,8.13498E+17,12/26/2016,signature_moves,My album of the year was   - few artists have managed to convey the modern world's horrors so beautifully. Bold move.,"['#anohni', '#hopelessness']",My album of the year was #anohni #hopelessness - few artists have managed to convey the modern world's horrors so beautifully. Bold move.,0
3102,8.13125E+17,8.13125E+17,12/25/2016,slicedtomatoes,@ANOHNItweets  some albums simply stand out ,"['#hopelessness', '#excellent']",@ANOHNItweets #hopelessness some albums simply stand out #excellent,0
3115,8.1265E+17,8.1265E+17,12/24/2016,firozpathan5,Stuck in traffic prime minister narendra modi visit in pune  ,"['#hopelessness', '#boredom']",Stuck in traffic prime minister narendra modi visit in pune #hopelessness #boredom,1
